[POST] /session/start -> 200 session=5105fb2b-27a8-4515-b65b-add811a29014
[POST] /play/round day=0 hour=0 -> 200
[POST] /play/round day=0 hour=1 -> 200
[POST] /play/round day=0 hour=2 -> 200
[POST] /play/round day=0 hour=3 -> 200
[POST] /play/round day=0 hour=4 -> 200
[POST] /play/round day=0 hour=5 -> 200
[POST] /play/round day=0 hour=6 -> 200
[POST] /play/round day=0 hour=7 -> 200
[POST] /play/round day=0 hour=8 -> 200
[POST] /play/round day=0 hour=9 -> 200
[POST] /play/round day=0 hour=10 -> 200
[POST] /play/round day=0 hour=11 -> 200
[POST] /play/round day=0 hour=12 -> 200
[POST] /play/round day=0 hour=13 -> 200
[POST] /play/round day=0 hour=14 -> 200
[POST] /play/round day=0 hour=15 -> 200
[POST] /play/round day=0 hour=16 -> 200
[POST] /play/round day=0 hour=17 -> 200
[POST] /play/round day=0 hour=18 -> 200
[POST] /play/round day=0 hour=19 -> 200
[POST] /play/round day=0 hour=20 -> 200
[POST] /play/round day=0 hour=21 -> 200
[POST] /play/round day=0 hour=22 -> 200
[POST] /play/round day=0 hour=23 -> 200
[POST] /play/round day=1 hour=0 -> 200
[POST] /play/round day=1 hour=1 -> 200
[POST] /play/round day=1 hour=2 -> 200
[POST] /play/round day=1 hour=3 -> 200
[POST] /play/round day=1 hour=4 -> 200
[POST] /play/round day=1 hour=5 -> 200
[POST] /play/round day=1 hour=6 -> 200
[POST] /play/round day=1 hour=7 -> 200
[POST] /play/round day=1 hour=8 -> 200
[POST] /play/round day=1 hour=9 -> 200
[POST] /play/round day=1 hour=10 -> 200
[POST] /play/round day=1 hour=11 -> 200
[POST] /play/round day=1 hour=12 -> 200
[POST] /play/round day=1 hour=13 -> 200
[POST] /play/round day=1 hour=14 -> 200
[POST] /play/round day=1 hour=15 -> 200
[POST] /play/round day=1 hour=16 -> 200
[POST] /play/round day=1 hour=17 -> 200
[POST] /play/round day=1 hour=18 -> 200
[POST] /play/round day=1 hour=19 -> 200
[POST] /play/round day=1 hour=20 -> 200
[POST] /play/round day=1 hour=21 -> 200
[POST] /play/round day=1 hour=22 -> 200
[POST] /play/round day=1 hour=23 -> 200
[POST] /play/round day=2 hour=0 -> 200
[POST] /play/round day=2 hour=1 -> 200
[POST] /play/round day=2 hour=2 -> 200
[POST] /play/round day=2 hour=3 -> 200
[POST] /play/round day=2 hour=4 -> 200
[POST] /play/round day=2 hour=5 -> 200
[POST] /play/round day=2 hour=6 -> 200
[POST] /play/round day=2 hour=7 -> 200
[POST] /play/round day=2 hour=8 -> 200
[POST] /play/round day=2 hour=9 -> 200
[POST] /play/round day=2 hour=10 -> 200
[POST] /play/round day=2 hour=11 -> 200
[POST] /play/round day=2 hour=12 -> 200
[POST] /play/round day=2 hour=13 -> 200
[POST] /play/round day=2 hour=14 -> 200
[POST] /play/round day=2 hour=15 -> 200
[POST] /play/round day=2 hour=16 -> 200
[POST] /play/round day=2 hour=17 -> 200
[POST] /play/round day=2 hour=18 -> 200
[POST] /play/round day=2 hour=19 -> 200
[POST] /play/round day=2 hour=20 -> 200
[POST] /play/round day=2 hour=21 -> 200
[POST] /play/round day=2 hour=22 -> 200
[POST] /play/round day=2 hour=23 -> 200
[POST] /play/round day=3 hour=0 -> 200
[POST] /play/round day=3 hour=1 -> 200
[POST] /play/round day=3 hour=2 -> 200
[POST] /play/round day=3 hour=3 -> 200
[POST] /play/round day=3 hour=4 -> 200
[POST] /play/round day=3 hour=5 -> 200
[POST] /play/round day=3 hour=6 -> 200
[POST] /play/round day=3 hour=7 -> 200
[POST] /play/round day=3 hour=8 -> 200
[POST] /play/round day=3 hour=9 -> 200
[POST] /play/round day=3 hour=10 -> 200
[POST] /play/round day=3 hour=11 -> 200
[POST] /play/round day=3 hour=12 -> 200
[POST] /play/round day=3 hour=13 -> 200
[POST] /play/round day=3 hour=14 -> 200
[POST] /play/round day=3 hour=15 -> 200
[POST] /play/round day=3 hour=16 -> 200
[POST] /play/round day=3 hour=17 -> 200
[POST] /play/round day=3 hour=18 -> 200
[POST] /play/round day=3 hour=19 -> 200
